Radiology_MR ANGIOGRAM CHEST W/CONTRAST,1
Radiology_PTA AORTA,2
Radiology_MRA CHEST W/CONTRAST,11
Physician _Physician Fellow and Attending Progress Note - MIC,1
Radiology_ORO FEMUR (AP & LAT) IN O.R. RIGHT IN O.R.,1
Rehab Services_Deferred PMV & Swallow Evaluation,1
Radiology_COLON (BARIUM ENEMA),66
General_ICU Event NoteBoston01,1
Nursing_Admission Note,2
Rehab Services_Rehab/PT,1
Physician _ICU Daily Note,13
Radiology_CT FISTULOGRAM/SINOGRAM,6
Nursing_Progress note,2
Radiology_CT NECK W/CONTRAST W/ONC TABLES,1
Respiratory _Respiratory Care Shift Note,31101
Radiology_CTA CORONARY ARTERIES W/O QUANT CALCIUM,16
Physician _Cardiology Comprehensive Physician Note - CCU Resi,1
Radiology_EMERG BILAT LOWER EXT VEINS,71
Radiology_PELVIS LIMITED,29
Radiology_TUNNELED CENTRAL OR PICC W/PORT,2
"Radiology_RP HAND, AP & LAT. VIEWS RIGHT PORT",5
Radiology_RENAL U.S.,2914
Radiology_P CAROTID SERIES LMTD PORT,1
"Radiology_RP HAND (AP, LAT & OBLIQUE) RIGHT PORT",54
Radiology_MR CARDIAC,3
Physician _Critical care progress note,1
Rehab Services_Physical Therapy Re- Evaluation Note,5
Physician _Critical Care Staff Addendum,4
General_CCU Resident Admission Note,2
Nursing_Nursing Progress Note,191832
General_Procedure Note- Arterial Line Placement,1
General_MICU Attending Note,2
Radiology_LP HIP 1 VIEW LEFT PORT,1
Radiology_RP SCAPULA RIGHT PORT,2
Radiology_B FEMUR (AP & LAT) SOFT TISSUE BILAT,2
"Radiology_CHEST (PA, LAT & OBLIQUES)",35
Physician _Physician Resident/Attending Progress Note,27
Case Management _Case Managment Initial Patient Assessment,296
Radiology_CT DRAIN FOR APPENDICEAL ABSCESS,2
Physician _ICU Attending addendum,1
Radiology_SECONDARY THROMBECTOMY W/OTHER PERC PROCEDURE,2
General_micu staff pn/bronchoscopy note,1
Nursing_transfere note,2
Radiology_CONSULT READING MAMMOGRAPHY ONLY,2
Physician _ICU Physican Progress Note,7
Rehab Services_Deferred Bedside Swallow Study,1
Radiology_NON-CONTRAST IFIR RENAL ANGIO MRI,2
Physician _MICU Attending Readmission Note,1
Radiology_MR PITUITARY W&W/O CONTRAST,100
Radiology_US RETROPER ABSCESS DRAIN PERC,8
Case Management _Hospice Referral,1
Radiology_J TUBE REPOSITION,2
Physician _MICU Overnight Intensivist Fellow Admission,1
Radiology_UNCLOG G/GJ TUBE,2
Physician _Critical Care Attending Addendum Note,3
Physician _Fem Line Removal,1
"Radiology_OL WRIST, AP & LAT VIEWS IN O.R. LEFT",1
Radiology_L CTA LOWER EXT W/&W/O C & RECONS LEFT,10
Radiology_LUMBAR PUNCTURE (W/ FLUORO),29
Radiology_LP KNEE( (SINGLE VIEW) LEFT PORT,6
Radiology_R 50398 CHG NEPHROSTOMY UNILAT RIGHT,6
Radiology_PTA BRACHIOCEPHALIC,6
Radiology_TUNNELED W/ PORT,67
Radiology_PLCT CHOLEDOCHAL STENT,1
Physician _Physician Fellow Admission Note - MICU,11
Radiology_CTA PANCREAS W/ CTCP,14
Radiology_C-SPINE NON TRAUMA W/OBLS 4 VIEWS,16
Rehab Services_Physical Therapy Re - Evaluation Note,3
Radiology_R FEMORAL VASCULAR US RIGHT,394
General_EP fellow Note,3
Radiology_P LIVER OR GALLBLADDER US (SINGLE ORGAN) PORT,1602
Radiology_INTRO PERC TRANHEPATIC CATH,43
Radiology_PL VENOUS DUP UPPER EXT UNILATERAL PORT LEFT,1
Radiology_LO HIP UNILAT MIN 2 VIEWS LEFT IN O.R.,25
Radiology_CYBER-INS MARKER SOFT TISSUE/MSK,2
Radiology_EXTREM BILAT VENOGRAPHY,2
"Radiology_R RIB UNILAT, W/ AP CHEST RIGHT",91
Physician _Student and Attending Notes,1
Radiology_L MRA UPPER EXTREMITY LEFT,3
Radiology_BIL ENDOSCOPY,20
Radiology_ANTEGRADE UROGRAPHY,57
Radiology_B FEMORAL VASCULAR US BILAT,16
Pharmacy_Sedation,34
Physician _A-line placement,1
Physician _Physician Fellow/Attending Admission Note - MICU,46
Physician _ICU Event Note - Family Meeting,13
Radiology_FLUORO GUIDANCE FOR NEEDLE PLACEMENT,2
Physician _critical care attending progress note,2
Radiology_R CHEST U.S. RIGHT,21
Radiology_MR SPINAL CANAL (ENTIRE),3
Rehab Services_Passy Muir Speaking Valve Eval /Dispense,1
Physician _TSICU progress note,5
Physician _CCU ADMIT NOTE,2
Radiology_ART DUP EXT UP UNI OR LMTD,41
Physician _Attending Physician Note,2
Radiology_B ANKLE (2 VIEWS) BILAT,20
Physician _Physician Resident/Attending Admission Note - MICU,439
Case Management _Initial Patient Assessment,15
Radiology_LP PLEURAL ASP BY RADIOLOGIST LEFT PORT,4
Radiology_PUNC ASP ABS HEM BUL CYST,46
Physician _Critical Care Staff,11
Radiology_R UPPER EXTREMITY FLUORO RIGHT,1
Physician _Physician Resident/Attending Progress Note - CCU,1
Physician _Critical care attending admission note,1
Radiology_DOBUTAMINE MIBI,15
Radiology_PL WRIST(3 + VIEWS) PORT LEFT,2
Physician _PGY1/Attending Daily Progress note MICU,1
Nursing_Nursing Admission Note,4
Consult_GI  Consult Progress Note,1
Radiology_T ENDO STENT GRAFT THORAC ANEURYSM W/SUB,4
Radiology_L ANKLE 1 VIEW LEFT,9
Radiology_CTA CORONARY ARTERIES W/3D W/FUNCTION,32
Radiology_MR ARM W&W/O CONTRAST,4
General_critical care admit note,1
"Radiology_LO ANKLE (AP, LAT & OBLIQUE) LEFT IN O.R.",10
Radiology_LP CHEST WALL U.S. SCAN LEFT PORT,1
Radiology_LUMBAR SPINAL PUNCTURE,185
Radiology_CT SINUS/MANDIBLE/MAXILLOFACIAL W & W/O CONTRAST,1
"Radiology_PRIMARY MECH THROMBECTOMY, ARTERIAL/BPG, INITIAL",1
Rehab Services_PMV and Swallow Follow-Up,1
Physician _Physician Intensivist Note,3
General_Cardiology fellow addendum to admission note,1
"Radiology_OL ANKLE (AP, LAT & OBLIQUE) IN O.R. LEFT",4
Radiology_VENOGRAPHY EXT UNILAT,1
Radiology_CT C-SPINE W/CONTRAST,95
Radiology_R MR WRIST W/ARTHROGRAM RIGHT,1
Radiology_INTRO GUIDE TO PELVIS OR URETHER,9
Radiology_PERSANTINE MIBI,752
Radiology_L ABDOMEN (LAT DECUB ONLY) LEFT,33
Rehab Services_Bedside Swallowing + Communication Board,1
Radiology_O FACIAL BONE (WATERS & LAT) IN O.R.,2
"Radiology_L HAND (AP, LAT & OBLIQUE) LEFT",394
Radiology_INJ/ASO MAJOR JT W/FLUORO,8
Physician _IABP Removal,1
General_Phone call to wife,1
Radiology_CAROTID/CERVICAL UNILAT,10
Radiology_RO FOREARM (AP & LAT) RIGHT IN O.R.,12
"Radiology_RP TOE(S), 2+ VIEW RIGHT PORT",2
Radiology_MR HEAD & NECK ANGIO,1
Physician _ICU Event Note --Family Note,1
Radiology_L ANKLE AP & LAT STANDING LEFT,5
Radiology_P BABYGRAM (ABD ANY SGL VIEW) (74000) PORT,303
Radiology_OP PELVIS (AP ONLY) IN O.R. PORT,5
Radiology_B SCAPULA BILAT,1
"Radiology_US NECK, SOFT TISSUE",6
Radiology_MR-ANGIO HEAD W/OUT CONTRAST,5
Radiology_B FOOT (AP & LAT) STANDING BILAT,29
"Radiology_B ANKLE (AP, LAT & OBLIQUE) BILAT",23
Pharmacy_Drug interactions Warfarin,1
Radiology_P CHEST (SINGLE VIEW) PORT,190
"Radiology_B FOOT AP,LAT & OBL BILAT",168
Physician _Cardiology Comprehensive Physician Note,322
Radiology_LO UPPER EXTREMITY FLUORO LEFT IN O.R.,1
Physician _Physican Resident Progress Note,1
Radiology_RP HUMERUS (AP & LAT) RIGHT PORT,27
Radiology_LUMBO-SACRAL SPINE (AP & LAT),354
Radiology_MRA CHEST W/O C,3
Case Management _Transition to Inpatient Hospice Benefit,1
Rehab Services_Deferred Repeat PMV Evaluation,1
Physician _MICU Attending,37
General_Epidural Placement,2
"Physician _Code Blue, Cardiac Arrest, Death",1
